Index,Age,Minutes per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
573,18,180,Yes,,No,Video game music,Yes,Yes,89,Sometimes,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Never,Never,Very frequently,7,0,3,1,No effect
574,29,120,Yes,No,No,Pop,No,No,,Never,Never,Rarely,Rarely,Never,Very frequently,Never,Never,Never,Sometimes,Rarely,Very frequently,Never,Very frequently,Never,Very frequently,10,8,8,9,Improve
575,18,240,Yes,Yes,No,R&B,Yes,Yes,169,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,3,0,3,4,Improve
576,22,300,Yes,No,No,EDM,Yes,Yes,138,Never,Never,Very frequently,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,1,0,0,1,No effect
577,19,360,Yes,No,No,Pop,No,No,124,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,6,6,0,0,Improve
578,13,60,Yes,No,No,Video game music,Yes,No,,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Very frequently,4,3,4,0,Improve
579,26,60,No,No,No,Pop,No,No,192,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Never,Very frequently,Rarely,Rarely,Sometimes,Never,6,4,0,0,Improve
580,14,180,Yes,No,No,Rock,Yes,No,76,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,2,6,3,0,Worsen
581,27,60,Yes,No,No,Pop,Yes,Yes,119,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Very frequently,Never,Sometimes,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,8,3,3,3,Improve
582,26,480,No,No,No,Rock,No,Yes,172,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Rarely,Very frequently,Never,Never,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,8,10,7,3,No effect
583,59,60,No,Yes,No,Rock,No,No,79,Rarely,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Never,Rarely,Rarely,Never,Very frequently,Never,1,0,0,1,Improve
584,30,480,Yes,Yes,Yes,Rock,Yes,No,112,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Never,8,6,6,8,Improve
585,27,60,Yes,No,No,Pop,Yes,Yes,130,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Never,6,3,1,7,Improve
586,18,60,No,Yes,No,Rap,Yes,Yes,116,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Never,Sometimes,2,0,3,0,Improve
587,23,600,Yes,Yes,Yes,Metal,No,Yes,165,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Sometimes,Never,0,0,0,0,No effect
588,18,600,Yes,Yes,Yes,Rock,Yes,No,110,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Never,10,10,6,6,Improve
589,40,300,Yes,No,No,Rock,Yes,Yes,174,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,3,0,0,1,Improve
590,24,600,Yes,No,No,Rock,Yes,Yes,180,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,7,9,10,0,Improve
591,23,120,Yes,Yes,No,Classical,Yes,Yes,171,Very frequently,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Very frequently,Rarely,Never,Very frequently,Never,8,7,6,2,Improve
592,56,360,Yes,No,No,R&B,No,No,,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,2,0,10,10,Improve
593,29,120,Yes,No,No,R&B,Yes,No,70,Rarely,Never,Very frequently,Never,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Sometimes,10,7,9,3,No effect
594,16,180,Yes,No,No,Pop,No,Yes,120,Never,Never,Never,Never,Never,Very frequently,Never,Very frequently,Never,Never,Never,Very frequently,Sometimes,Never,Never,Never,6,0,0,0,Improve
595,18,480,Yes,Yes,Yes,Gospel,Yes,Yes,56,Rarely,Never,Rarely,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Never,Sometimes,Very frequently,Sometimes,Never,Sometimes,3,0,2,2,Improve
596,21,480,Yes,No,No,Lofi,Yes,Yes,162,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,6,5,9,8,Improve
597,32,480,Yes,No,No,Rock,Yes,No,101,Never,Never,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Very frequently,Sometimes,7,6,5,8,Improve
598,22,480,Yes,Yes,No,Metal,Yes,No,110,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Never,Never,Very frequently,Rarely,Rarely,Never,Very frequently,Very frequently,10,7,8,6,Improve
599,17,720,Yes,Yes,No,Latin,Yes,No,172,Very frequently,Never,Rarely,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Sometimes,0,3,9,5,No effect
600,18,360,Yes,No,No,EDM,Yes,Yes,90,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Never,Very frequently,Very frequently,Very frequently,Rarely,Sometimes,0,2,1,5,Improve
601,18,240,Yes,Yes,No,R&B,No,Yes,135,Sometimes,Rarely,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,2,0,0,0,No effect
602,24,480,Yes,No,No,Jazz,Yes,No,81,Very frequently,Never,Rarely,Never,Never,Very frequently,Very frequently,Never,Rarely,Very frequently,Never,Rarely,Sometimes,Sometimes,Very frequently,Rarely,2,2,4,0,No effect
603,21,120,No,No,No,Pop,No,No,170,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,5,6,3,4,No effect
604,46,60,No,No,No,Rock,No,No,120,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,0,0,1,0,No effect
605,18,120,Yes,Yes,No,Hip hop,Yes,No,90,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Never,5,4,3,7,Improve
606,16,180,Yes,Yes,No,K pop,Yes,Yes,115,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,2,7,0,0,Improve
607,21,60,Yes,No,No,Video game music,Yes,Yes,,Very frequently,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Rarely,Sometimes,Never,Sometimes,Sometimes,Very frequently,0,6,0,4,Improve
608,19,0,No,No,No,Classical,Yes,Yes,,Very frequently,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,0,0,0,0,Improve
